OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
3888,2020/08/22 23:00:00+00,1730,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,1,0,0,358965,172956,MCYC
3889,2020/07/01 23:00:00+00,1807,3,Slight,J2,Turning Movement from minor road,2,3,0,0,0,2,0,363259,173280,CARS
3890,2020/07/02 23:00:00+00,1748,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358424,174541,CYC
3891,2020/07/20 23:00:00+00,1850,2,Serious,J,Turning movement ¿ unidentified priority,2,2,0,0,1,0,0,363508,174859,MCYC
3892,2021/01/23 00:00:00+00,1200,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,357305,175226,A
3893,2021/01/25 00:00:00+00,1230,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,357316,174814,CYC
3894,2020/07/04 23:00:00+00,0100,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,359720,177545,MCYC
3895,2021/04/14 23:00:00+00,2026,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,358726,178625,CARS
3896,2021/05/12 23:00:00+00,1600,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,358843,173429,CYC
3897,2021/05/17 23:00:00+00,1430,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,362548,169920,C
3898,2021/05/18 23:00:00+00,1620,3,Slight,C,Child pedestrian,1,1,1,1,0,1,0,358781,171771,C
3899,2021/05/20 23:00:00+00,0830,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359076,174262,A
3900,2021/05/20 23:00:00+00,1135,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359661,173152,CARS
3901,2021/05/20 23:00:00+00,1755,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,359374,175584,CARS
3902,2021/05/20 23:00:00+00,0840,3,Slight,NONE,Other,2,1,0,1,0,1,0,362780,175562,CYC
3903,2021/04/29 23:00:00+00,1938,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,357543,171249,MCYC
3904,2021/05/20 23:00:00+00,1750,3,Slight,A,Adult pedestrian,1,2,2,0,0,0,0,359099,176723,A
3905,2021/05/07 23:00:00+00,1018,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,363563,175016,CARS
3906,2021/05/06 23:00:00+00,1925,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358987,174956,CYC
3907,2021/04/08 23:00:00+00,1931,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,360594,173594,CARS
3908,2021/04/22 23:00:00+00,1349,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,359316,173995,CARS
3909,2020/01/17 00:00:00+00,1145,3,Slight,A,Adult pedestrian,1,1,1,0,1,0,0,358703,172878,A
3910,2020/02/25 00:00:00+00,0650,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,351881,178021,CYC
3911,2020/10/01 23:00:00+00,1410,3,Slight,NONE,Other,2,1,0,1,0,0,0,359828,171906,CYC
3912,2020/05/25 23:00:00+00,2036,3,Slight,LC,Loss of Control,1,2,0,0,0,0,0,353710,178310,CARS
3913,2020/12/16 00:00:00+00,1150,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,357977,170974,MCYC
3914,2021/05/19 23:00:00+00,0850,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,358791,171779,CARS
3915,2021/05/24 23:00:00+00,0850,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,361733,171109,A
3916,2021/05/24 23:00:00+00,1543,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,359477,177043,CARS
3917,2021/05/06 23:00:00+00,1930,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,363489,175050,CARS
3918,2021/05/05 23:00:00+00,0930,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359116,173930,A
3919,2021/11/16 00:00:00+00,1655,3,Slight,NONE,Other,2,1,0,0,0,0,0,356276,177515,CARS
3920,2021/11/18 00:00:00+00,1005,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,1,0,0,360733,174521,CYC
3921,2021/07/14 23:00:00+00,2355,2,Serious,NT,Nose to Tail,2,1,0,0,0,0,0,359106,173908,CARS
3922,2021/08/06 23:00:00+00,1718,3,Slight,J2,Turning Movement from minor road,3,3,0,0,0,1,0,364039,176579,CARS
3923,2021/11/13 00:00:00+00,1438,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,359184,175852,CARS
3924,2021/11/16 00:00:00+00,1545,3,Slight,C,Child pedestrian,1,1,1,0,1,1,0,361817,174030,C
3925,2021/11/18 00:00:00+00,1655,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,361043,173746,CYC
3926,2021/11/19 00:00:00+00,1300,3,Slight,NONE,Other,2,1,0,0,0,0,0,358871,173374,CARS
3927,2021/11/20 00:00:00+00,2040,3,Slight,O,Overtaking,2,1,0,1,0,0,1,360647,174423,CYC
3928,2021/11/12 00:00:00+00,2030,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,359217,172755,CYC
3929,2021/11/22 00:00:00+00,1622,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359555,172967,CYC
3930,2021/09/27 23:00:00+00,1530,3,Slight,NONE,Other,2,1,0,0,0,1,0,356923,179066,CARS
3931,2021/10/09 23:00:00+00,2010,3,Slight,NONE,Other,2,1,0,1,0,0,0,359763,169307,CYC
3932,2021/09/26 23:00:00+00,1430,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,358524,173478,MCYC
3933,2021/10/26 23:00:00+00,1715,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,357453,175327,CYC
3934,2021/11/12 00:00:00+00,1712,3,Slight,O,Overtaking,2,1,0,0,0,0,0,359405,173672,CARS
3935,2021/11/21 00:00:00+00,1430,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,361870,176436,CARS
3936,2021/11/20 00:00:00+00,0820,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,359807,175442,CARS
3937,2021/11/23 00:00:00+00,1930,3,Slight,NT,Nose to Tail,2,1,0,0,0,1,0,362287,168682,CARS
3938,2021/11/26 00:00:00+00,1145,3,Slight,NONE,Other,2,1,0,1,0,0,0,356392,179045,CYC
3939,2021/11/16 00:00:00+00,1330,3,Slight,O,Overtaking,2,1,0,0,0,0,0,360507,175067,CARS
3940,2021/11/29 00:00:00+00,1100,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,364311,175958,CARS
3941,2021/11/30 00:00:00+00,1848,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358861,174750,A
3942,2021/11/30 00:00:00+00,1535,3,Slight,HO,Head On,2,2,0,1,0,1,0,358703,172871,CYC
3943,2021/10/30 23:00:00+00,1538,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,357809,173601,CARS
3944,2020/07/10 23:00:00+00,2030,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,361313,174417,C
3945,2020/07/03 23:00:00+00,2250,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,357729,173401,CYC
3946,2020/07/15 23:00:00+00,1552,3,Slight,HO,Head On,3,1,0,0,0,0,1,354795,178023,CARS
